no,name,past_members,genres,instruments,labels,associated_acts,years_active,occupations,birth_name,origin,born,members,also_known_as,genre,website,spouse(s),twitter_followers
11,Alok, ,"House, EDM, deep house, future house, Brazilian bass","Digital audio workstation, guitar, keyboards","Spinnin', UP Club, Warner Music","Bruno Martini, Steve Aoki",2004–present,"Musician, DJ, record producer", ,"Alok Achkar Peres Petrillo (1991-08-26) August 26, 1991 (age 28)Goiânia, Goiás", , , , ,aloklive.com.br,Romana Novais (m. 2019),1.56M
12,Hardwell, ," Progressive house, big room house, electro house, Dutch house, hardstyle, future bass, future house, dance-pop, trap, tech house, "," Digital audio workstation, piano, mixer, synthesizer, "," Revealed, Musical Freedom, Ultra, Mainstage, Epic Amsterdam, Sony, Universal, Armada, Spinnin', "," Afrojack, Armin van Buuren, Blasterjaxx, Dannic, Fatman Scoop, Haris Alagic, Harrison, I-Fan, Jake Reese, Jonathan Mendelsohn, KURA, Makj, Magnomite, Nicky Romero, Tiësto, W&W, ",2002-present," DJ, record producer, remixer, ",Robbert van de Corput, ," (1988-01-07) 7 January 1988 (age 32)Breda, North Brabant, Netherlands", , , ,djhardwell.com, ,7.54M
13,Timmy Trumpet, ," Electro house, House, Big room, Psytrance, Hardstyle, ","Trumpet, digital trumpet, piano"," Spinnin', Revealed, Ministry of Sound,, Monstercat, Dim Mak, Armada, Ultra Music, ", ,2005-present,"Musician, DJ, songwriter, record producer",Timothy Jude Smith, ," (1982-06-09) 9 June 1982 (age 37)Sydney, Australia", , , ,Official website, ,126K
14,R3hab, ," Electro house, progressive house, Brazilian bass[1], ",Synthesizers," Cyb3rpvnk, ", ,2008-present," DJ, record producer, remixer, ",Fadil El Ghoul, ," (1986-04-02) 2 April 1986 (age 34)Den Bosch, North Brabant, Netherlands", , , ,www.r3hab.com, ,1.1M
15,KSHMR, ," Electro house[1], big room house[2], psytrance[3], "," Synthesizer, digital audio workstation, "," Revealed, Spinnin', Musical Freedom, Universal Republic, Dharma Worldwide[4], "," The Cataracs, Bassjackers, R3hab, Tiësto, Tigerlily, Hardwell, Headhunterz, ",2006-present," Musician, record producer, disc jockey, songwriter, ",Niles Hollowell-Dhar, ," (1988-10-06) October 6, 1988 (age 31)Berkeley, California", , , ,welcometokshmr.com, ,166K
16,DJ Snake, ," Trap, EDM, tropical house, French house, moombahton, dubstep, pop, hip hop, bass house, "," Keyboards, piano, synthesizer, "," Geffen, Premiere Classe, Starsick, Columbia, Interscope, Mad Decent, Spinnin', "," Pardon My French, Major Lazer, Diplo, Skrillex, Dillon Francis, Gashi, George Maple, J Balvin, Lady Gaga, Malaa, Mercer, Yellow Claw, ",2009-present," DJ, record producer, ",William Sami Etienne Grigahcine,"Ermont, France"," (1986-06-13) 13 June 1986 (age 33)Paris, France", , , ,djsnake.com, ,1.65M
17,Eric Prydz, ," House, techno, progressive house[1], tech house, "," Turntables, keyboard, guitar, "," Pryda, Mouseville, Pryda Friends, Virgin, EMI, Astralwerks, Ministry of Sound, Arista, ", ,2001-present," Musician, record producer, DJ, ",Eric Sheridan Prydz,"Taby, Stockholm County, Sweden", (1976-07-19) 19 July 1976 (age 43), ," AxEr, A&P Project, Cirez D, Dukes of Sluca, Groove System, Hardform, Pryda, Moo, Sheridan, Tonja Holma, Fiol Lasse, ", ,ericprydz.tv, ,911K
18,W & W, ," progressive trance, dutch house, big room house, trance, psy-trance, trap, hardstyle, happy hardcore[2], ", ," Armada, Mainstage, Rave Culture, Revealed, Spinnin', Doorn, Musical Freedom, Aropa, Smash the House, Ultra Records, "," Mark Sixma, Leon Bolier, Hardwell, Dimitri Vegas & Like Mike, Steve Aoki, 3 Are Legend, Armin van Buuren, Blasterjaxx, ",2007-present, , ,"Breda, North Brabant, Netherlands", ," Willem van Hanegem, Ward van der Harst, ",NWYR[1], ,wandwmusic.com, ,982K
19,Calvin Harris, ,"EDM[2], electro house[3], electropop[4], dance-pop[5], nu-disco[3]","Piano, keyboards, synthesiser, guitar, bass guitar, sampler, sequencer, vocals","Fly Eye, Columbia, Ministry of Sound, Ultra, Roc Nation, Deconstruction","Dizzee Rascal, Kylie Minogue, Rihanna, Ellie Goulding, Example, Hurts, Big Sean, John Newman, Normani", , , , ,"Adam Richard Wiles (1984-01-17) January 17, 1984 (age-36)Dumfries, Scotland", , , ,calvinharris.com, ,12.5M
20,Lost Frequencies, ," Deep house[1], tropical house[2], ", ," Found Frequencies, The Bearded Man, Armada Music, ", ,2014-present," DJ, record producer, ",Felix De Laet, ," (1993-11-30) 30 November 1993 (age 26)Brussels, Belgium", , , ,lostfrequencies.com, ,56.5K
21,Skrillex, ," EDM[1], brostep[2], dubstep, electro house, trap, moombahton, post-hardcore, "," Vocals, guitar, bass guitar, CDJs, drum machine, synthesizer, sampler, drum sequencer, piano, keyboards, "," Atlantic, Big Beat, OWSLA, Asylum, mau5trap, Sumerian, "," From First to Last, Jack Ü, Diplo, Dog Blood, Boys Noize, Ellie Goulding, Hikaru Utada, Zedd, deadmau5, Incubus, Justin Bieber, Poo Bear, THEY., ",2004-present," Record producer, DJ, musician, singer, songwriter, ",Sonny John Moore, ," (1988-01-15) January 15, 1988 (age 32)Los Angeles, California, U.S.", , , ,skrillex.com, ,6.31M
22,Above & Beyond, ,"Trance, vocal trance, progressive trance, progressive house, big room house", ,"Anjunabeats, Anjunadeep, Armada Music","Aalto, Anjunabeats, Colours Of Amon Ra, Dirt Devils, Free State, Nitromethane, Sad Lovers And Giants, Zed-X,Oceanlab",2000–present,"'Disc jockeys, record producers", ,"London, UK", ,Jono GrantTony McGuinnessPaavo Siljamäki,"OceanLab, Rollerball, Tongue Of God, Tranquility Base", ,www.aboveandbeyond.nu, ,559K
23,DVBBS, ," EDM, big room house, Dutch house, electro house, progressive house, dance-pop, future bass, trap, ", ," Universal Music Canada, Kanary, Doorn Records, Musical Freedom, Spinnin' Records, Showland Records, "," Borgeous, CMC$, ",2012-present, , ,"Orangeville, Ontario, CanadaLos Angeles, California, United States", ," Alexandre van den Hoef, Christopher van den Hoef, ", , , , ,696K
24,Nervo, ," EDM, electro house, progressive house, ", ," Ultra, Virgin, EMI, Spinnin', Terminal, Moi Fox, Big Beat, Monstercat, Armada, "," Afrojack, David Guetta, Kelly Rowland, Kylie Minogue, ",2005-present, , , ,"Melbourne, Australia", ," Mim and Liv, The Nervo Twins, ", ,nervomusic.com, ,1.04M
25,Quintino, ," Electro house, EDM, Dutch house, progressive house, big room house, trap, ", ,Spinnin' RecordsRevealed RecordingsMusical FreedomSupersoniQ RecordsMixmash RecordsWall Recordings,"Hardwell, Afrojack, R3hab, Laidback Luke, Sandro Silva, MOTi, Alvaro",2001-present," Musician, DJ, record producer, ",Quinten van den Berg,"Den Helder, Netherlands"," (1985-09-21) September 21, 1985 (age 34)", , , ,djquintino.com, ,344K
26,The Chainsmokers," Rhett Bixler, "," EDM, pop[1], electropop[2], future bass , ", ," Disruptor, Columbia, Sony, "," Emily Warren, Daya, Halsey, Xylø, 5 Seconds of Summer, Coldplay, Bebe Rexha, Illenium, Lennon Stella, Kygo, Amy Shark, Sabrina Claudio, Blink-182, Ty Dolla $ign, bülow, ",2012-present, , ,"New York City, New York, U.S.", ," Drew Taggart, Alex Pall, Matt McGuire (touring member), ", , ,thechainsmokers.com , ,3.52M
27,Alan Walker, ," EDM, electro house, progressive house, ", ," Ultra, Virgin, EMI, Spinnin', Terminal, Moi Fox, Big Beat, Monstercat, Armada, "," Afrojack, David Guetta, Kelly Rowland, Kylie Minogue, ",2005-present, , , ,"Melbourne, Australia", ," Mim and Liv, The Nervo Twins, ", ,nervomusic.com, ,705K
28,VINAI, ,"EDM, big room house, future bass, melbourne bounce, electro house, progressive house, Dutch house", ,Spinnin' Records,"Dimitri Vegas & Like Mike, DVBBS, R3hab, TJR, Scndl, Harrison, Olly James",2011 (2011)-present, , ,"Brescia, Italy", ,Alessandro VinaiAndrea Vinai, , , , ,187K
29,Headhunterz," Bobby van Putten, "," Hardstyle, Electro house, Dutch house, progressive house, big room house, future bass, future house, ", ," Scantraxx, Q-dance, Ultra, HARD with STYLE, Mainstage, Revealed, Art Of Creation, Spinnin', "," Wildstylez, Noisecontrollers, Brennan Heart, Gostosa, Project One, Hardwell, Steve Aoki, Sub Zero Project, R3hab, W&W, Sound Rush, Krewella, Skytech, Crystal Lake, KSHMR, ",2003-present, ,Willem Rebergen,"Veenendaal, Netherlands", (1985-09-12) 12 September 1985 (age 34)," Willem Rebergen, "," Nasty D-Tuners, Antifact, Shilo, Project One (with Wildstylez), ", ,headhunterz.com, ,190K
30,Fedde Le Grand, ," House, electro house, Dutch house, progressive house, ", ," Flamingo, Ministry of Sound Australia, Toolroom, Ultra, Be Yourself, Spinnin', Darklight, "," Funkerman, Sultan + Shepard, Nicky Romero, Jewelz & Sparks, Roul and Doors, Patrick la Funk, Dannic, Deniz Koyu, Michael Calfan, Chocolate Puma, John Dish, Marco V, ",2002-present," DJ, record producer, remixer, ",Fedde le Grand, ," (1977-09-07) 7 September 1977 (age 42)Utrecht, Netherlands", , , ,feddelegrand.com, ,662K
31,Vini Vici, ,"Psychedelic trance, electronica, electronic rock, full on", , , , , , ,Israel, ," Matan Kadosh, Aviram Saharai, Itai Spector, ", , , , ,24.7K
32,Ummet Ozcan, ,"Electro house, big room house, progressive house, tech-trance (earlier works)", ,Spinnin' Records,"W&W, Dimitri Vegas & Like Mike, Armin van Buuren, David Guetta, Calvin Harris, NERVO, Lucas & Steve, Sander van Doorn, R3hab, Tiesto",2006-present,"DJ, record producer, sound designer, Label owner", , ," (1982-08-16) 16 August 1982 (age 37)Putten, Netherlands[1]", , , ,www.ummetozcan.com, ,242K
33,Angerfist, ,"Hardcore, Gabber", ,Masters of Hardcore, ,2001-present, , , ," (1981-06-20) 20 June 1981 (age 38)Almere, Netherlands", ,Menace II Society  Kid Morbid  Bloodcage  Denekamps Gespuis  Floorcrushers, ,angerfist.nl, ,81.4K
34,Bassjackers, ," Dutch house, electro house, big room house, trap, future house, ", ," Spinnin' Records, Revealed, Musical Freedom, Smash the House, Wall Recordings, Protocol Recordings, "," Breathe Carolina, Brooks, Dyro, Jay Hardway, KSHMR, Ralvero, Apek, Apster, ",2007-present, , ,"Tilburg, Netherlands", ,Marlon Flohr Ralph van Hilst, , ,bassjackers.com, ,358K
35,Carl Cox, ,"House, techno, tech house, minimal techno", ,Intec Digital,DJ Relentless (Holt Norfolk) (Clubstyle Parties),1980s-present,"DJ, producer",Carl Cox, , (1962-07-29) 29 July 1962 (age 57)Oldham, , , ,Carl Cox, ,585K
36,Blasterjaxx,Leon Vielvoije," Electro house[1][2], big room house, progressive house, hardstyle, future bass, trap, ", ," Maxximize Records, Spinnin' Records, Revealed, Musical Freedom, Smash The House, Dirty Dutch Music, Mixmash Records, Protocol Recordings, Ones To Watch Records, Dim Mak, "," Laidback Luke, Tiësto, Quintino, Breathe Carolina, Inna, W&W, MOTi, Hardwell, Dimitri Vegas & Like Mike, ",2010-present, , ,"The Hague, Netherlands", ,Thom JongkindIdir Makhlaf, , ,blasterjaxx.com, ,458K
37,Nicky Romero, ," EDM, electro house, progressive house, future house, big room house, future bass, dance-pop[1], psychedelic trance[2], "," Keyboards, mixer, synthesizer, Logic Pro, "," Protocol, Toolroom, Cr2, Spinnin', Revealed, "," Nervo, Avicii, Krewella, Anouk, David Guetta, Fedde Le Grand, Calvin Harris, Mitchell Arthur, Vicetone, Hardwell, Volt & State, Stadiumx, Firebeatz, Afrojack, Sunnery James & Ryan Marciano, ",2007-present," Musician, DJ, record producer, remixer, ",Nick Rotteveel, ," (1989-01-06) 6 January 1989 (age 31)Amerongen, Utrecht Province, Netherlands", , , ,nickyromero.com, ,2.72M
38,Wolfpack, ," Electro house, EDM, Dutch house, progressive house, big room house, trap, ", ,Spinnin' RecordsRevealed RecordingsMusical FreedomSupersoniQ RecordsMixmash RecordsWall Recordings,"Hardwell, Afrojack, R3hab, Laidback Luke, Sandro Silva, MOTi, Alvaro",2001-present," Musician, DJ, record producer, ",Quinten van den Berg,"Den Helder, Netherlands"," (1985-09-21) September 21, 1985 (age 34)", , , ,djquintino.com, ,11.1K
39,ATB, ,"Trance, progressive house", ,Kontor Records,see Co-production section of ATB discography.,1998-present,"DJ, producer, remixer",Andre Tanneberger,"Freiberg, Germany", (1973-02-26) 26 February 1973 (age 47)[1], , , ,atb-music.com , ,163K
40,Kura, ," EDM, electro house, progressive house, big room house[2], deep house, "," Programming, keyboards, piano, "," MER, Sony, DM, RCA, NCS, Ultra, ", ,2012-present," DJ, record producer, ",Alan Olav Walker,"Bergen, Norway"," (1997-08-24) 24 August 1997 (age 22)[1]Northampton, Northamptonshire, England", ," DJ Walker, Alan Walker, "," Music, Vlog, ",alanwalker.no, ,24.6K
41,Danny Avila, ," Electro house, Progressive house, Big room house, Future bass, Future house, ","Keyboards, turntables, guitar, Logic Pro, FL Studio","Spinnin', Musical Freedom","Tiesto, Fedde le Grand, Deniz Koyu, Tujamo",2010 - present,"Producer, musician",Daniel Avila Roson,"Marbella, Spain"," (1995-04-01) April 1, 1995 (age 25)", , , ,djdannyavila.com, ,86.1K
42,Swedish House Mafia,Eric Prydz[1][2]," Progressive house, electro house, house, "," Logic Pro, Pioneer CDJ, Teenage Engineering OP-1, "," Virgin, EMI, Astralwerks, Polydor, UMG, Ministry of Sound, Columbia Records, Sony Music, "," Axwell & Ingrosso, Tinie Tempah, Usher, John Martin, Laidback Luke, Knife Party, "," 2008-2013, 2018-present, ", , ,"Stockholm, Sweden", ," Axwell, Steve Angello, Sebastian Ingrosso, ", , ,swedishhousemafia.com, ,2.12M
43,Tujamo, ,Electro house, ,Spinnin', , ," DJ, producer, musician, ",Matthias Richter, ," (1988-01-18) January 18, 1988 (age 32)Detmold, North Rhine-Westphalia, West Germany", , , , , ,44.9K
44,Alison Wonderland, ," EDM, electropop, chillwave, trap, future bass[1], "," Vocals, bass guitar, keyboards, synthesizer, digital audio workstation, "," EMI, Universal, ", ,2008-present," DJ, producer, singer-songwriter, ",Alexandra Margo Sholler,"Sydney, New South Wales, Australia", (1986-09-27) 27 September 1986 (age 33), , , ,www.alisonwonderland.com, ,316K
45,Martin Jensen, , , , , , , , , , , , , , , ,5714
46,Cat Dealers, ," Electro house, Big room house, House, ", ," Flashover Recordings, Revealed Recordings, Spinnin' Records, Musical Freedom, Dharma Records, Smash The House, "," Hardwell, Laidback Luke, MAKJ, Tony Junior, Sidney Samson, John Christian, Tiesto, Ferry Corsten, ",2005-present," Disc jockey, Producer, ",Ruben de Almeida Barbeiro, ," (1987-08-21) 21 August 1987 (age 32)Leiria, Centro Region, Portugal", , , ,www.djkura.com, ,17.9K
47,Vintage Culture, ," Tropical house, dance, ", ," Sony Music, Disco:wax, ",Bjornskov,2014-present," DJ, record producer, ",Martin Jensen, ," (1991-09-29) 29 September 1991 (age 28)Silkeborg, Midtjylland, Denmark", , , ,djmartinjensen.com, ,
48,Adam Beyer, ,"Techno, Tech house", ,Drumcode RecordsTruesoul RecordsCode Red RecordingsMad Eye Recordings,"Henrik B, Lenk, Alien Resence, Audicom, Co-Habits, Genecom, Hemlock, Ida Engberg, Jesper Dahlback, Marco Carola, Mental Glue, Rubber Duck, Safety Session, Slaughterhouse, The Syncapator, Wave Slaves",1993-present,"Turntablism, record producer",Adam Beyer, ," (1976-05-15) 15 May 1976 (age 43)Stockholm, Sweden", ,"17th, Jack Sell, 2 Bonk, Conceiled Project, Midas, Mould Impression, Martin Kliernert, Mr. Sliff, Tall Guy", , , ,208K
49,Mariana Bo, , , , , , , , , , , , , , , ,43.5K
50,Zedd, ," EDM[1][2], house[3], electro house[4], complextro, progressive house, pop, dance-pop, "," Synthesizers, drums, programming, piano, vocoder, "," Interscope, Owsla, Spinnin', Dim Mak, "," Dioramic, Grey, Alessia Cara, Matthew Koma, Lady Gaga, ",2002-present," DJ, record producer, songwriter, ",Anton Igorevich Zaslavski,"Kaiserslautern, Germany"," (1989-09-02) 2 September 1989 (age 30)Saratov, Russian SFSR, Soviet Union  (present-day Saratov,", , , ,zedd.net, ,8.02M
52,Kygo, ," Deep house [3], Tropical house [4], progressive house[5][4], downtempo, "," Programming, piano, keyboards, "," Sony Music[6], Ultra, RCA[7][8][9], ", ," 2009-present, "," DJ, songwriter, record producer, ",Kyrre Gorvell-Dahll,"Bergen, Norway", (1991-09-11) 11 September 1991 (age 28)Singapore[1][2], , , ,kygomusic.com, ,473K
53,Claptone, ," Techno, house, ", ,Different Recordings, ,2012-present," DJ, music producer, ", , ,Germany, , , ,Official website, ,30.7K
54,Mike Williams, , , , , , , , , , , , , , , ,39.4K
56,Yves V, ,"Electro house, progressive house, Dutch house", ,"Spinnin' Records, Smash the House", , ,"DJ, record producer",Yves Van Geertsom,"Antwerp, Belgium"," (1981-04-10) April 10, 1981 (age 39)", ,Yves V, ,www.yves-v.com, ,73.6K
57,Will Sparks, ," Melbourne bounce, electro house, ","Ableton Live, guitar, piano"," Sony Music Australia, Bourne Recordings, Monstercat, "," Timmy Trumpet, Priyanka Chopra, KSHMR, Deorro, Ben Nicky, Toneshifterz, Luciana, Joel Fletcher, Reece Low, Tyron Hapi, ",2012-present,"Producer, musician",William James Sparks,"Melbourne, Australia"," (1993-03-15) 15 March 1993 (age 27)Melbourne, Australia", , , , , ,75.6K
58,Steve Angello, ," Progressive house, electro house, tech house, ", ," Size, X, Columbia, "," Swedish House Mafia, Sebastian Ingrosso, Axwell, AN21, Max Vangeli, Third Party, Matisse & Sadko, Laidback Luke, Dimitri Vangelis & Wyman, David Guetta, Jean Michel Jarre, M83, ",2001-present," DJ, record producer, remixer, record label owner, ",Steven Patrik Josefsson Fragogiannis,"Stockholm, Sweden"," (1982-11-22) 22 November 1982 (age 37)Athens, Greece", , , ,www.steveangello.com, ,1.27M
59,Ferry Corsten, ," Trance, progressive house, ", ," Tsunami, Flashover, "," Gouryella, Veracocha, Vimana, New World Punx, Starparty (more), ",1989-present," DJ, record producer, remixer, ",Ferry Corsten,"Rotterdam, Netherlands"," (1973-12-04) 4 December 1973 (age 46)Rotterdam, Netherlands", ," Gouryella, System F, Moonman, Pulp Victim, Albion (more), ", ,ferrycorsten.com, ,439K
60,Nina Kraviz, ," Techno, tech house, minimal, electronica, acid house, ", ,"трип (trip), ", ,2008-present," Record producer, DJ, Dentist, ",Nina Kravits, ,"Irkutsk, Russian SFSR, Soviet Union (now Russia)", , , , , ,148K
61,Alesso, ," Progressive house, electro house[1], pop[2], "," Piano, keyboards, mixset, synthesizer, "," Refune, Joia, Ministry of Sound, Universal Sweden, Def Jam, Virgin EMI, "," Anitta, David Guetta, Sebastian Ingrosso, Ryan Tedder, Matthew Koma, Dirty South, Calvin Harris, Hurts, Tove Lo, Roy English, Swedish House Mafia, ",2010-present," DJ, record producer, ",Alessandro Renato Rodolfo Lindblad, ," (1991-07-07) 7 July 1991 (age 28)Stockholm, Sweden", , , ,alessoworld.com, ,2.18M
62,Breathe Carolina," Kyle Even, Joshua Aragon, Luis Bonet, Eric Armenta, "," EDM, electropop, electronic rock, electronicore, crunkcore, ", ," Armada Music, Columbia, Fearless, Rise, Spinnin' Records, "," Bassjackers, Dropgun, Haliene, Apek, Sunstars, Karra, Reez, ",2007-present, , ,"Denver, Colorado, U.S.", ," David Schmitt, Tommy Cooperman, ", , ,breathecarolinamusic.com, ,183K
63,FISHER, ," Electro house, Progressive house, future bass, future house, future bounce[1][2], "," Digital audio workstation , piano , keyboard, "," Spinnin' Records, Musical Freedom, Revealed Recordings, Dharma Wordwide, Protocol Recordings, LYD, Future House Music, Universal Music Group, ","Tiesto, Martin Garrix, Mesto, Justin Mylo, Hardwell, Brooks (DJ), R3HAB, Lucas & Steve, Curbi",2014-present," Musician, DJ, record producer, remixer, ",Mike Willemsen,"Kortenhoef, Netherlands"," (1996-11-27) November 27, 1996 (age 23)", , , ,mikewilliams.nl, ,58.7K
64,Illenium, ,"Tech house, house", ,"Dirtybird, Catch & Release", ,2017-present,"Music producer, DJ",Paul Fisher, ,"Gold Coast, Queensland, Australia", , , , , ,195K
65,Deorro, ," Dutch house, progressive house, electro house, Melbourne bounce, trap, "," Keyboards, Turntables, Ableton Live, "," Dim Mak, Revealed, Ultra, PandaFunk, Monstercat, "," Hardwell, Steve Aoki, R3hab, Joel Fletcher, Diplo, Chris Brown, Erin McCarley[1], ",2005-present,DJ,Erick Orrosquieta,"West Covina, California, United States"," (1991-08-30) August 30, 1991 (age 28)Los Angeles, California, United States", ,TON!C, ,deorro.com, ,344K
66,Richie Hawtin, ,"Minimal techno, acid techno, IDM", ,"Plus 8, M-nus, NovaMute, Warp", ,1987-present,"DJ, record producer, record executive",Richard Hawtin,"Windsor, Ontario, Canada"," (1970-06-04) June 4, 1970 (age 49)Banbury, Oxfordshire, England, United Kingdom", ,"Plastikman, Concept 1, F.U.S.E., Forcept 1, Circuit Breaker, Robotman, Chrome, Spark, Xenon, R.H.X., Jack Master, Richard Michaels, UP!", ,http://close.richiehawtin.com, ,80.2K
67,Diplo, , , , , , , , , , , , , , , ,2.6M
68,Da Tweekaz, , , , , , , , , , , , , , , ,48.2K
